avg_weeks_unemployed,cont_claims_insur_unemploy,full_employ_level,part_employ_level,not_in_labor_force,gov_unemp_insur,labor_particip_women,labor_particip_men,labor_particip_total,real_estate_loans,consumer_loans,commerc_indust_loans,m1_real,unemp_less_five_weeks,unemp_5_to_14_wks,unemp_15_to_26_wks,unemp_over_27_wks,personal_consum_exp,personal_save_rate,emp_pop_ratio,unemploy_rate,insured_unemploy_rate,corp_profit_aftertax_without,corp_profit_aftertax_with,corp_profit_beforetax_without,fed_debt_precent_gdp,m1_velocity
10.6,,60186.0,.,.,,35.1,85.6,59.1,15.8053,14.2642,22.927,,1729.0,1083.0,533.0,232.0,,,55.7,5.7,.,,,,,
10.9,,60185.0,.,.,,35.0,86.0,59.2,15.9122,14.2036,22.7987,,1725.0,1183.0,496.0,278.0,,,55.7,5.9,.,22.529,21.235,39.141,,
11.6,,59908.0,.,.,,34.6,85.7,58.9,16.0059,14.1649,22.6694,,1643.0,1218.0,562.0,317.0,,,55.4,5.9,.,,,,,
12.3,,59792.0,.,.,,34.4,85.3,58.5,16.1206,14.2211,22.5139,,1573.0,1141.0,563.0,317.0,,,55.2,5.6,.,,,,,
12.5,,59643.0,.,.,,34.1,85.4,58.4,16.2817,14.3085,22.439,,1623.0,1043.0,603.0,329.0,,,55.0,5.8,.,23.813,22.235,41.473,,
12.8,,59853.0,.,.,,34.3,85.9,58.7,16.4543,14.419,22.4422,,1587.0,1233.0,582.0,420.0,,,55.2,6.0,.,,,,,
12.9,,60282.0,.,.,,34.9,86.0,59.2,16.5989,14.4418,22.4805,,1640.0,1412.0,585.0,432.0,,,55.5,6.1,.,,,,,
13.3,,60270.0,.,.,,34.8,85.5,58.8,16.7815,14.4976,22.5787,,1535.0,1136.0,555.0,454.0,,,55.5,5.7,.,25.515,24.565,44.539,,
13.2,,60357.0,.,.,,34.6,85.2,58.6,16.9649,14.5744,22.6956,,1457.0,1069.0,546.0,429.0,,,55.5,5.3,.,,,,,
13.4,,60116.0,.,.,,34.1,84.8,58.1,17.1987,14.7242,22.5382,,1414.0,1014.0,434.0,393.0,,,55.2,5.0,.,,,,,
13.4,,60753.0,.,.,,34.7,85.0,58.6,17.4247,14.8217,22.8036,,1398.0,879.0,461.0,421.0,,,55.7,4.9,.,28.583,27.672,49.715,,
14.2,,60727.0,.,.,,34.5,84.8,58.4,17.6462,14.9558,22.9901,,1296.0,857.0,387.0,439.0,,,55.7,4.7,.,,,,,
13.4,,60964.0,.,.,,34.5,85.0,58.5,17.8715,15.1819,23.1876,,1184.0,873.0,432.0,384.0,,,55.8,4.6,.,,,,,
14.3,,61515.0,.,.,,35.3,85.2,59.0,18.0734,15.4428,23.3723,,1301.0,848.0,411.0,400.0,,,56.2,4.7,.,29.064,28.727,50.444,,
14.4,,61634.0,2063,.,,35.0,85.1,58.8,18.2861,15.672,23.7085,,1295.0,678.0,380.0,354.0,,,56.3,4.3,.,,,,,
13.4,,61781.0,1982,.,,35.2,84.8,58.8,18.5473,16.0807,24.1102,,1305.0,781.0,333.0,335.0,,,56.3,4.2,.,,,,,
13.8,,62513.0,2123,.,,35.8,85.3,59.3,18.7283,16.2965,24.5263,,1282.0,679.0,343.0,297.0,,,56.9,4.0,.,29.843,28.289,51.731,,
12.3,,62797.0,2203,.,,36.4,85.4,59.7,18.9229,16.4447,24.963,,1445.0,784.0,260.0,275.0,,,57.1,4.2,.,,,,,
11.7,,62950.0,2133,.,,36.2,85.6,59.7,19.1557,16.6159,25.3672,,1357.0,807.0,308.0,250.0,,,57.2,4.1,.,,,,,
11.5,,62991.0,2093,.,,36.4,85.7,59.8,19.3747,16.8109,25.7546,,1429.0,845.0,328.0,244.0,,,57.2,4.3,.,31.115,28.826,53.871,,
11.3,,63257.0,2199,.,,36.5,85.8,59.9,19.4168,16.9503,26.4404,,1386.0,841.0,289.0,275.0,,,57.4,4.2,.,,,,,
12.0,,63684.0,2149,.,,37.0,85.9,60.2,19.4592,17.0879,26.7161,,1338.0,840.0,295.0,286.0,,,57.7,4.2,.,,,,,
11.7,,63753.0,2149,.,,36.7,86.1,60.2,19.6029,17.2573,27.1736,,1336.0,715.0,310.0,251.0,,,57.8,4.0,.,30.601,27.736,52.285,,
12.5,,63518.0,2087,.,,36.3,85.9,59.9,19.7735,17.371,27.6564,,1289.0,774.0,269.0,276.0,,,57.5,3.9,.,,,,,
11.6,,63411.0,1980,.,,36.4,85.8,59.8,19.9583,17.5483,28.5289,,1502.0,789.0,280.0,241.0,,,57.3,4.2,.,,,,,
11.0,,63614.0,2051,.,,36.6,85.6,59.9,20.1586,17.7106,29.285,,1353.0,824.0,271.0,205.0,,,57.5,4.0,.,31.446,27.546,53.542,,
10.4,,63861.0,2194,.,,37.1,85.8,60.2,20.3402,17.8523,29.6299,,1483.0,918.0,305.0,201.0,,,57.6,4.3,.,,,,,
10.1,,63820.0,2331,.,,37.0,85.7,60.1,20.5628,18.179,30.263,,1505.0,967.0,330.0,186.0,,,57.5,4.3,.,,,,,
