,A072RC1Q156SBEA,BUSLOANS,CE16OV,CIVPART,CONSUMER,CP,DPCCRC1M027SBEA,ECOMPCTSA,GOAI,HDTGPDUSQ163N,IURSA,LES1252881600Q,LNS15000000,M1V,PCE,PSAVERT,RRVRUSQ156N,TDSP,UEMP27OV,UEMPMEAN,UNRATE,W825RC1
1966-01-01,11.0,70.7290333333333333,72173.333333333333,58.8666666666666667,45.8020000000000000,58.118,359.5000000000000000,,,,,,,4.688,470.1333333333333333,10.9666666666666667,8.3,,276.0000000000000000,11.4000000000000000,3.8666666666666667,2.0333333333333333
1966-04-01,11.0,73.6973333333333333,72594.000000000000,59.0333333333333333,46.8170666666666667,58.576,362.6000000000000000,,,,,,,4.692,475.1666666666666667,10.9666666666666667,7.4,,255.3333333333333333,10.2333333333333333,3.8333333333333333,1.8000000000000000
1966-07-01,11.0,77.0882666666666667,73088.000000000000,59.2333333333333333,47.5194000000000000,58.397,370.4666666666666667,,,,,,,4.792,484.3333333333333333,11.0333333333333333,7.4,,205.3333333333333333,9.8666666666666667,3.7666666666666667,1.9000000000000000
1966-10-01,11.7,78.4530000000000000,73656.666666666667,59.4666666666666667,47.6790666666666667,57.516999999999996,375.8666666666666667,,,,,,,4.8580000000000005,490.0666666666666667,11.6666666666666667,7.7,,210.3333333333333333,9.8333333333333333,3.7000000000000000,1.8666666666666667
1967-01-01,12.5,79.6517000000000000,73572.000000000000,59.3000000000000000,48.0320666666666667,55.152,379.1666666666666667,,,,,,,4.873,494.3333333333333333,12.5000000000000000,7.3,,194.6666666666666667,9.1333333333333333,3.8333333333333333,2.1000000000000000
1967-04-01,11.9,81.8267000000000000,74001.333333333333,59.4333333333333333,48.6688666666666667,55.258,387.3666666666666667,,,,,,,4.834,503.4333333333333333,11.9333333333333333,6.9,,159.0000000000000000,8.6000000000000000,3.8333333333333333,2.3000000000000000
1967-07-01,12.4,83.6613000000000000,74713.666666666667,59.6666666666666667,49.7743666666666667,56.54,394.1000000000000000,,,,,,,4.82,510.7000000000000000,12.3666666666666667,7.0,,171.0000000000000000,8.5333333333333333,3.8000000000000000,2.3333333333333333
1967-10-01,12.5,84.9466333333333333,75216.333333333333,59.8666666666666667,50.8805333333333333,59.497,399.3000000000000000,,,,,,,4.831,518.2333333333333333,12.5000000000000000,6.2,,185.0000000000000000,8.7333333333333333,3.9000000000000000,2.2000000000000000
1968-01-01,11.9,86.7543333333333333,75102.666666666667,59.4666666666666667,52.0351666666666667,58.82,414.7333333333333333,,,,,,,4.92,536.2666666666666667,11.9000000000000000,6.1,,182.6666666666666667,8.8666666666666667,3.7333333333333333,2.3000000000000000
1968-04-01,12.0,89.1077000000000000,75950.000000000000,59.8000000000000000,53.3393000000000000,60.526,426.3666666666666667,,,,,,,4.97,550.0333333333333333,12.0000000000000000,6.2,,149.0000000000000000,8.2666666666666667,3.5666666666666667,2.1000000000000000
1968-07-01,10.6,91.3730333333333333,76100.666666666667,59.6333333333333333,54.9857000000000000,61.023999999999994,439.4000000000000000,,,,,,,4.961,566.1333333333333333,10.6000000000000000,5.9,,148.0000000000000000,8.3000000000000000,3.5333333333333333,2.2333333333333333
1968-10-01,10.9,94.4963333333333333,76498.666666666667,59.6000000000000000,57.0940666666666667,62.599,446.6333333333333333,,,,,,,4.944,574.9333333333333333,10.8333333333333333,5.4,,141.6666666666666667,8.2333333333333333,3.4000000000000000,2.2000000000000000
1969-01-01,10.1,98.2275666666666667,77166.333333333333,59.8333333333333333,58.8037333333333333,61.994,455.9333333333333333,,,,,,,4.9830000000000005,587.0333333333333333,10.0666666666666667,5.6,,121.3333333333333333,7.9666666666666667,3.4000000000000000,2.3000000000000000
1969-04-01,10.3,101.7524333333333333,77605.000000000000,59.9666666666666667,60.4308333333333333,60.335,465.5666666666666667,,,,,,,5.022,598.3666666666666667,10.3000000000000000,5.7,,127.6666666666666667,7.8333333333333333,3.4333333333333333,2.2000000000000000
1969-07-01,11.7,103.3933333333333333,78153.000000000000,60.2333333333333333,61.3686000000000000,58.63399999999999,473.4666666666666667,,,,,,,5.103,608.6000000000000000,11.6333333333333333,5.5,,146.6666666666666667,7.9000000000000000,3.5666666666666667,2.3333333333333333
1969-10-01,11.6,105.3735000000000000,78575.333333333333,60.2666666666666667,62.2476000000000000,57.815,482.1333333333333333,,,,,,,5.102,620.6000000000000000,11.6000000000000000,5.1,,138.0000000000000000,7.8666666666666667,3.5666666666666667,2.5000000000000000
1970-01-01,12.0,105.8020000000000000,78780.333333333333,60.4666666666666667,63.0189333333333333,55.323,489.3666666666666667,,,,,,,5.112,631.6666666666666667,11.9666666666666667,5.4,,161.6666666666666667,8.0666666666666667,4.1666666666666667,2.8666666666666667
1970-04-01,12.6,106.1747333333333333,78635.666666666667,60.3666666666666667,63.3830333333333333,55.193999999999996,497.9333333333333333,,,,,,,5.152,641.5666666666666667,12.6666666666666667,5.4,,219.0000000000000000,8.4666666666666667,4.7666666666666667,3.9000000000000000
1970-07-01,13.3,108.5822000000000000,78616.000000000000,60.3000000000000000,64.2833000000000000,56.132,507.6333333333333333,,,,,,,5.1739999999999995,653.5000000000000000,13.2666666666666667,5.3,,255.3333333333333333,8.8666666666666667,5.1666666666666667,4.5333333333333333
1970-10-01,13.3,110.4354000000000000,78643.000000000000,60.4000000000000000,64.9603666666666667,53.35,511.9333333333333333,,,,,,,5.095,660.1666666666666667,13.3000000000000000,5.2,,324.6666666666666667,9.2666666666666667,5.8333333333333333,5.4000000000000000
